win_path,file_id,start_ms,end_ms,tx,rx,env
processed_10s_2ch\A_B_1__t1751730157079.npy,A_B_1,1751730157079,1751730167079,A,B,1
processed_10s_2ch\A_B_1__t1751730162079.npy,A_B_1,1751730162079,1751730172079,A,B,1
processed_10s_2ch\A_B_1__t1751730167079.npy,A_B_1,1751730167079,1751730177079,A,B,1
processed_10s_2ch\A_B_1__t1751730172079.npy,A_B_1,1751730172079,1751730182079,A,B,1
processed_10s_2ch\A_B_1__t1751730177079.npy,A_B_1,1751730177079,1751730187079,A,B,1
processed_10s_2ch\A_B_1__t1751730182079.npy,A_B_1,1751730182079,1751730192079,A,B,1
processed_10s_2ch\A_B_1__t1751730187079.npy,A_B_1,1751730187079,1751730197079,A,B,1
processed_10s_2ch\A_B_1__t1751730192079.npy,A_B_1,1751730192079,1751730202079,A,B,1
processed_10s_2ch\A_B_1__t1751730197079.npy,A_B_1,1751730197079,1751730207079,A,B,1
processed_10s_2ch\A_B_1__t1751730202079.npy,A_B_1,1751730202079,1751730212079,A,B,1
processed_10s_2ch\A_B_1__t1751730207079.npy,A_B_1,1751730207079,1751730217079,A,B,1
processed_10s_2ch\A_B_1__t1751730212079.npy,A_B_1,1751730212079,1751730222079,A,B,1
processed_10s_2ch\A_B_1__t1751730217079.npy,A_B_1,1751730217079,1751730227079,A,B,1
processed_10s_2ch\A_B_1__t1751730222079.npy,A_B_1,1751730222079,1751730232079,A,B,1
processed_10s_2ch\A_B_1__t1751730227079.npy,A_B_1,1751730227079,1751730237079,A,B,1
processed_10s_2ch\A_B_1__t1751730232079.npy,A_B_1,1751730232079,1751730242079,A,B,1
processed_10s_2ch\A_B_1__t1751730237079.npy,A_B_1,1751730237079,1751730247079,A,B,1
processed_10s_2ch\A_B_1__t1751730242079.npy,A_B_1,1751730242079,1751730252079,A,B,1
processed_10s_2ch\A_B_1__t1751730247079.npy,A_B_1,1751730247079,1751730257079,A,B,1
processed_10s_2ch\A_B_1__t1751730252079.npy,A_B_1,1751730252079,1751730262079,A,B,1
processed_10s_2ch\A_B_1__t1751730257079.npy,A_B_1,1751730257079,1751730267079,A,B,1
processed_10s_2ch\A_B_1__t1751730262079.npy,A_B_1,1751730262079,1751730272079,A,B,1
processed_10s_2ch\A_B_1__t1751730267079.npy,A_B_1,1751730267079,1751730277079,A,B,1
processed_10s_2ch\A_B_1__t1751730272079.npy,A_B_1,1751730272079,1751730282079,A,B,1
processed_10s_2ch\A_B_1__t1751730277079.npy,A_B_1,1751730277079,1751730287079,A,B,1
processed_10s_2ch\A_B_1__t1751730282079.npy,A_B_1,1751730282079,1751730292079,A,B,1
processed_10s_2ch\A_B_1__t1751730287079.npy,A_B_1,1751730287079,1751730297079,A,B,1
processed_10s_2ch\A_B_1__t1751730292079.npy,A_B_1,1751730292079,1751730302079,A,B,1
processed_10s_2ch\A_B_1__t1751730297079.npy,A_B_1,1751730297079,1751730307079,A,B,1
processed_10s_2ch\A_B_1__t1751730302079.npy,A_B_1,1751730302079,1751730312079,A,B,1
processed_10s_2ch\A_B_1__t1751730307079.npy,A_B_1,1751730307079,1751730317079,A,B,1
processed_10s_2ch\A_B_1__t1751730312079.npy,A_B_1,1751730312079,1751730322079,A,B,1
processed_10s_2ch\A_B_1__t1751730317079.npy,A_B_1,1751730317079,1751730327079,A,B,1
processed_10s_2ch\A_B_1__t1751730322079.npy,A_B_1,1751730322079,1751730332079,A,B,1
processed_10s_2ch\A_B_1__t1751730327079.npy,A_B_1,1751730327079,1751730337079,A,B,1
processed_10s_2ch\A_B_1__t1751730332079.npy,A_B_1,1751730332079,1751730342079,A,B,1
processed_10s_2ch\A_B_1__t1751730337079.npy,A_B_1,1751730337079,1751730347079,A,B,1
processed_10s_2ch\A_B_1__t1751730342079.npy,A_B_1,1751730342079,1751730352079,A,B,1
processed_10s_2ch\A_B_1__t1751730347079.npy,A_B_1,1751730347079,1751730357079,A,B,1
processed_10s_2ch\A_B_1__t1751730352079.npy,A_B_1,1751730352079,1751730362079,A,B,1
processed_10s_2ch\A_B_1__t1751730357079.npy,A_B_1,1751730357079,1751730367079,A,B,1
processed_10s_2ch\A_B_1__t1751730362079.npy,A_B_1,1751730362079,1751730372079,A,B,1
processed_10s_2ch\A_B_1__t1751730367079.npy,A_B_1,1751730367079,1751730377079,A,B,1
processed_10s_2ch\A_B_1__t1751730372079.npy,A_B_1,1751730372079,1751730382079,A,B,1
processed_10s_2ch\A_B_1__t1751730377079.npy,A_B_1,1751730377079,1751730387079,A,B,1
processed_10s_2ch\A_B_1__t1751730382079.npy,A_B_1,1751730382079,1751730392079,A,B,1
processed_10s_2ch\A_B_1__t1751730387079.npy,A_B_1,1751730387079,1751730397079,A,B,1
processed_10s_2ch\A_B_1__t1751730392079.npy,A_B_1,1751730392079,1751730402079,A,B,1
processed_10s_2ch\A_B_1__t1751730397079.npy,A_B_1,1751730397079,1751730407079,A,B,1
processed_10s_2ch\A_B_1__t1751730402079.npy,A_B_1,1751730402079,1751730412079,A,B,1
processed_10s_2ch\A_B_1__t1751730407079.npy,A_B_1,1751730407079,1751730417079,A,B,1
processed_10s_2ch\A_B_1__t1751730412079.npy,A_B_1,1751730412079,1751730422079,A,B,1
processed_10s_2ch\A_B_1__t1751730417079.npy,A_B_1,1751730417079,1751730427079,A,B,1
processed_10s_2ch\A_B_1__t1751730422079.npy,A_B_1,1751730422079,1751730432079,A,B,1
processed_10s_2ch\A_B_1__t1751730427079.npy,A_B_1,1751730427079,1751730437079,A,B,1
processed_10s_2ch\A_B_1__t1751730432079.npy,A_B_1,1751730432079,1751730442079,A,B,1
processed_10s_2ch\A_B_1__t1751730437079.npy,A_B_1,1751730437079,1751730447079,A,B,1
processed_10s_2ch\A_B_1__t1751730442079.npy,A_B_1,1751730442079,1751730452079,A,B,1
processed_10s_2ch\A_B_1__t1751730447079.npy,A_B_1,1751730447079,1751730457079,A,B,1
processed_10s_2ch\A_B_1__t1751730452079.npy,A_B_1,1751730452079,1751730462079,A,B,1
processed_10s_2ch\A_B_1__t1751730457079.npy,A_B_1,1751730457079,1751730467079,A,B,1
processed_10s_2ch\A_B_1__t1751730462079.npy,A_B_1,1751730462079,1751730472079,A,B,1
processed_10s_2ch\A_B_1__t1751730467079.npy,A_B_1,1751730467079,1751730477079,A,B,1
processed_10s_2ch\A_B_1__t1751730472079.npy,A_B_1,1751730472079,1751730482079,A,B,1
processed_10s_2ch\A_B_1__t1751730477079.npy,A_B_1,1751730477079,1751730487079,A,B,1
processed_10s_2ch\A_B_1__t1751730482079.npy,A_B_1,1751730482079,1751730492079,A,B,1
processed_10s_2ch\A_B_1__t1751730487079.npy,A_B_1,1751730487079,1751730497079,A,B,1
processed_10s_2ch\A_B_1__t1751730492079.npy,A_B_1,1751730492079,1751730502079,A,B,1
processed_10s_2ch\A_B_1__t1751730497079.npy,A_B_1,1751730497079,1751730507079,A,B,1
processed_10s_2ch\A_B_1__t1751730502079.npy,A_B_1,1751730502079,1751730512079,A,B,1
processed_10s_2ch\A_B_1__t1751730507079.npy,A_B_1,1751730507079,1751730517079,A,B,1
processed_10s_2ch\A_B_1__t1751730512079.npy,A_B_1,1751730512079,1751730522079,A,B,1
processed_10s_2ch\A_B_1__t1751730517079.npy,A_B_1,1751730517079,1751730527079,A,B,1
processed_10s_2ch\A_B_1__t1751730522079.npy,A_B_1,1751730522079,1751730532079,A,B,1
processed_10s_2ch\A_B_1__t1751730527079.npy,A_B_1,1751730527079,1751730537079,A,B,1
processed_10s_2ch\A_B_1__t1751730532079.npy,A_B_1,1751730532079,1751730542079,A,B,1
processed_10s_2ch\A_B_1__t1751730537079.npy,A_B_1,1751730537079,1751730547079,A,B,1
processed_10s_2ch\A_B_1__t1751730542079.npy,A_B_1,1751730542079,1751730552079,A,B,1
processed_10s_2ch\A_B_1__t1751730547079.npy,A_B_1,1751730547079,1751730557079,A,B,1
processed_10s_2ch\A_B_1__t1751730552079.npy,A_B_1,1751730552079,1751730562079,A,B,1
processed_10s_2ch\A_B_1__t1751730557079.npy,A_B_1,1751730557079,1751730567079,A,B,1
processed_10s_2ch\A_B_1__t1751730562079.npy,A_B_1,1751730562079,1751730572079,A,B,1
processed_10s_2ch\A_B_1__t1751730567079.npy,A_B_1,1751730567079,1751730577079,A,B,1
processed_10s_2ch\A_B_1__t1751730572079.npy,A_B_1,1751730572079,1751730582079,A,B,1
processed_10s_2ch\A_B_1__t1751730577079.npy,A_B_1,1751730577079,1751730587079,A,B,1
processed_10s_2ch\A_B_1__t1751730582079.npy,A_B_1,1751730582079,1751730592079,A,B,1
processed_10s_2ch\A_B_1__t1751730587079.npy,A_B_1,1751730587079,1751730597079,A,B,1
processed_10s_2ch\A_B_1__t1751730592079.npy,A_B_1,1751730592079,1751730602079,A,B,1
processed_10s_2ch\A_B_1__t1751730597079.npy,A_B_1,1751730597079,1751730607079,A,B,1
processed_10s_2ch\A_B_1__t1751730602079.npy,A_B_1,1751730602079,1751730612079,A,B,1
processed_10s_2ch\A_B_1__t1751730607079.npy,A_B_1,1751730607079,1751730617079,A,B,1
processed_10s_2ch\A_B_1__t1751730612079.npy,A_B_1,1751730612079,1751730622079,A,B,1
processed_10s_2ch\A_B_1__t1751730617079.npy,A_B_1,1751730617079,1751730627079,A,B,1
processed_10s_2ch\A_B_1__t1751730622079.npy,A_B_1,1751730622079,1751730632079,A,B,1
processed_10s_2ch\A_B_1__t1751730627079.npy,A_B_1,1751730627079,1751730637079,A,B,1
processed_10s_2ch\A_B_1__t1751730632079.npy,A_B_1,1751730632079,1751730642079,A,B,1
processed_10s_2ch\A_B_1__t1751730637079.npy,A_B_1,1751730637079,1751730647079,A,B,1
processed_10s_2ch\A_B_1__t1751730642079.npy,A_B_1,1751730642079,1751730652079,A,B,1
processed_10s_2ch\A_B_1__t1751730647079.npy,A_B_1,1751730647079,1751730657079,A,B,1
processed_10s_2ch\A_B_1__t1751730652079.npy,A_B_1,1751730652079,1751730662079,A,B,1
processed_10s_2ch\A_B_1__t1751730657079.npy,A_B_1,1751730657079,1751730667079,A,B,1
processed_10s_2ch\A_B_1__t1751730662079.npy,A_B_1,1751730662079,1751730672079,A,B,1
processed_10s_2ch\A_B_1__t1751730667079.npy,A_B_1,1751730667079,1751730677079,A,B,1
processed_10s_2ch\A_B_1__t1751730672079.npy,A_B_1,1751730672079,1751730682079,A,B,1
processed_10s_2ch\A_B_1__t1751730677079.npy,A_B_1,1751730677079,1751730687079,A,B,1
processed_10s_2ch\A_B_1__t1751730682079.npy,A_B_1,1751730682079,1751730692079,A,B,1
processed_10s_2ch\A_B_1__t1751730687079.npy,A_B_1,1751730687079,1751730697079,A,B,1
processed_10s_2ch\A_B_1__t1751730692079.npy,A_B_1,1751730692079,1751730702079,A,B,1
processed_10s_2ch\A_B_1__t1751730697079.npy,A_B_1,1751730697079,1751730707079,A,B,1
processed_10s_2ch\A_B_1__t1751730702079.npy,A_B_1,1751730702079,1751730712079,A,B,1
processed_10s_2ch\A_B_1__t1751730707079.npy,A_B_1,1751730707079,1751730717079,A,B,1
processed_10s_2ch\A_B_1__t1751730712079.npy,A_B_1,1751730712079,1751730722079,A,B,1
processed_10s_2ch\A_B_1__t1751730717079.npy,A_B_1,1751730717079,1751730727079,A,B,1
processed_10s_2ch\A_B_1__t1751730722079.npy,A_B_1,1751730722079,1751730732079,A,B,1
processed_10s_2ch\A_B_1__t1751730727079.npy,A_B_1,1751730727079,1751730737079,A,B,1
processed_10s_2ch\A_B_1__t1751730732079.npy,A_B_1,1751730732079,1751730742079,A,B,1
processed_10s_2ch\A_B_1__t1751730737079.npy,A_B_1,1751730737079,1751730747079,A,B,1
processed_10s_2ch\A_B_1__t1751730742079.npy,A_B_1,1751730742079,1751730752079,A,B,1
processed_10s_2ch\A_B_1__t1751730747079.npy,A_B_1,1751730747079,1751730757079,A,B,1
processed_10s_2ch\A_B_1__t1751730752079.npy,A_B_1,1751730752079,1751730762079,A,B,1
processed_10s_2ch\A_B_1__t1751730757079.npy,A_B_1,1751730757079,1751730767079,A,B,1
processed_10s_2ch\A_B_1__t1751730762079.npy,A_B_1,1751730762079,1751730772079,A,B,1
processed_10s_2ch\A_B_1__t1751730767079.npy,A_B_1,1751730767079,1751730777079,A,B,1
processed_10s_2ch\A_B_1__t1751730772079.npy,A_B_1,1751730772079,1751730782079,A,B,1
processed_10s_2ch\A_B_1__t1751730777079.npy,A_B_1,1751730777079,1751730787079,A,B,1
processed_10s_2ch\A_B_1__t1751730782079.npy,A_B_1,1751730782079,1751730792079,A,B,1
processed_10s_2ch\A_B_1__t1751730787079.npy,A_B_1,1751730787079,1751730797079,A,B,1
processed_10s_2ch\A_B_1__t1751730792079.npy,A_B_1,1751730792079,1751730802079,A,B,1
processed_10s_2ch\A_B_1__t1751730797079.npy,A_B_1,1751730797079,1751730807079,A,B,1
processed_10s_2ch\A_B_1__t1751730802079.npy,A_B_1,1751730802079,1751730812079,A,B,1
processed_10s_2ch\A_B_1__t1751730807079.npy,A_B_1,1751730807079,1751730817079,A,B,1
processed_10s_2ch\A_B_1__t1751730812079.npy,A_B_1,1751730812079,1751730822079,A,B,1
processed_10s_2ch\A_B_1__t1751730817079.npy,A_B_1,1751730817079,1751730827079,A,B,1
processed_10s_2ch\A_B_1__t1751730822079.npy,A_B_1,1751730822079,1751730832079,A,B,1
processed_10s_2ch\A_B_1__t1751730827079.npy,A_B_1,1751730827079,1751730837079,A,B,1
processed_10s_2ch\A_B_1__t1751730832079.npy,A_B_1,1751730832079,1751730842079,A,B,1
processed_10s_2ch\A_B_1__t1751730837079.npy,A_B_1,1751730837079,1751730847079,A,B,1
processed_10s_2ch\A_B_1__t1751730842079.npy,A_B_1,1751730842079,1751730852079,A,B,1
processed_10s_2ch\A_B_1__t1751730847079.npy,A_B_1,1751730847079,1751730857079,A,B,1
processed_10s_2ch\A_B_1__t1751730852079.npy,A_B_1,1751730852079,1751730862079,A,B,1
processed_10s_2ch\A_B_1__t1751730857079.npy,A_B_1,1751730857079,1751730867079,A,B,1
processed_10s_2ch\A_B_1__t1751730862079.npy,A_B_1,1751730862079,1751730872079,A,B,1
processed_10s_2ch\A_B_1__t1751730867079.npy,A_B_1,1751730867079,1751730877079,A,B,1
processed_10s_2ch\A_B_1__t1751730872079.npy,A_B_1,1751730872079,1751730882079,A,B,1
processed_10s_2ch\A_B_1__t1751730877079.npy,A_B_1,1751730877079,1751730887079,A,B,1
processed_10s_2ch\A_B_1__t1751730882079.npy,A_B_1,1751730882079,1751730892079,A,B,1
processed_10s_2ch\A_B_1__t1751730887079.npy,A_B_1,1751730887079,1751730897079,A,B,1
processed_10s_2ch\A_B_1__t1751730892079.npy,A_B_1,1751730892079,1751730902079,A,B,1
processed_10s_2ch\A_B_1__t1751730897079.npy,A_B_1,1751730897079,1751730907079,A,B,1
processed_10s_2ch\A_B_1__t1751730902079.npy,A_B_1,1751730902079,1751730912079,A,B,1
processed_10s_2ch\A_B_1__t1751730907079.npy,A_B_1,1751730907079,1751730917079,A,B,1
processed_10s_2ch\A_B_1__t1751730912079.npy,A_B_1,1751730912079,1751730922079,A,B,1
processed_10s_2ch\A_B_1__t1751730917079.npy,A_B_1,1751730917079,1751730927079,A,B,1
processed_10s_2ch\A_B_1__t1751730922079.npy,A_B_1,1751730922079,1751730932079,A,B,1
processed_10s_2ch\A_B_1__t1751730927079.npy,A_B_1,1751730927079,1751730937079,A,B,1
processed_10s_2ch\A_B_1__t1751730932079.npy,A_B_1,1751730932079,1751730942079,A,B,1
processed_10s_2ch\A_B_1__t1751730937079.npy,A_B_1,1751730937079,1751730947079,A,B,1
processed_10s_2ch\A_B_1__t1751730942079.npy,A_B_1,1751730942079,1751730952079,A,B,1
processed_10s_2ch\A_B_1__t1751730947079.npy,A_B_1,1751730947079,1751730957079,A,B,1
processed_10s_2ch\A_B_1__t1751730952079.npy,A_B_1,1751730952079,1751730962079,A,B,1
processed_10s_2ch\A_B_1__t1751730957079.npy,A_B_1,1751730957079,1751730967079,A,B,1
processed_10s_2ch\A_B_1__t1751730962079.npy,A_B_1,1751730962079,1751730972079,A,B,1
processed_10s_2ch\A_B_1__t1751730967079.npy,A_B_1,1751730967079,1751730977079,A,B,1
processed_10s_2ch\A_B_1__t1751730972079.npy,A_B_1,1751730972079,1751730982079,A,B,1
processed_10s_2ch\A_B_1__t1751730977079.npy,A_B_1,1751730977079,1751730987079,A,B,1
processed_10s_2ch\A_B_1__t1751730982079.npy,A_B_1,1751730982079,1751730992079,A,B,1
processed_10s_2ch\A_B_1__t1751730987079.npy,A_B_1,1751730987079,1751730997079,A,B,1
processed_10s_2ch\A_B_1__t1751730992079.npy,A_B_1,1751730992079,1751731002079,A,B,1
processed_10s_2ch\A_B_1__t1751730997079.npy,A_B_1,1751730997079,1751731007079,A,B,1
processed_10s_2ch\A_B_1__t1751731002079.npy,A_B_1,1751731002079,1751731012079,A,B,1
processed_10s_2ch\A_B_1__t1751731007079.npy,A_B_1,1751731007079,1751731017079,A,B,1
processed_10s_2ch\A_B_1__t1751731012079.npy,A_B_1,1751731012079,1751731022079,A,B,1
processed_10s_2ch\A_B_1__t1751731017079.npy,A_B_1,1751731017079,1751731027079,A,B,1
processed_10s_2ch\A_B_1__t1751731022079.npy,A_B_1,1751731022079,1751731032079,A,B,1
processed_10s_2ch\A_B_1__t1751731027079.npy,A_B_1,1751731027079,1751731037079,A,B,1
processed_10s_2ch\A_B_1__t1751731032079.npy,A_B_1,1751731032079,1751731042079,A,B,1
processed_10s_2ch\A_B_1__t1751731037079.npy,A_B_1,1751731037079,1751731047079,A,B,1
processed_10s_2ch\A_B_1__t1751731042079.npy,A_B_1,1751731042079,1751731052079,A,B,1
processed_10s_2ch\A_B_1__t1751731047079.npy,A_B_1,1751731047079,1751731057079,A,B,1
processed_10s_2ch\A_B_1__t1751731052079.npy,A_B_1,1751731052079,1751731062079,A,B,1
processed_10s_2ch\A_B_1__t1751731057079.npy,A_B_1,1751731057079,1751731067079,A,B,1
processed_10s_2ch\A_B_1__t1751731062079.npy,A_B_1,1751731062079,1751731072079,A,B,1
processed_10s_2ch\A_B_1__t1751731067079.npy,A_B_1,1751731067079,1751731077079,A,B,1
processed_10s_2ch\A_B_1__t1751731072079.npy,A_B_1,1751731072079,1751731082079,A,B,1
processed_10s_2ch\A_B_1__t1751731077079.npy,A_B_1,1751731077079,1751731087079,A,B,1
processed_10s_2ch\A_B_1__t1751731082079.npy,A_B_1,1751731082079,1751731092079,A,B,1
processed_10s_2ch\A_B_1__t1751731087079.npy,A_B_1,1751731087079,1751731097079,A,B,1
processed_10s_2ch\A_B_1__t1751731092079.npy,A_B_1,1751731092079,1751731102079,A,B,1
processed_10s_2ch\A_B_1__t1751731097079.npy,A_B_1,1751731097079,1751731107079,A,B,1
processed_10s_2ch\A_B_1__t1751731102079.npy,A_B_1,1751731102079,1751731112079,A,B,1
processed_10s_2ch\A_B_1__t1751731107079.npy,A_B_1,1751731107079,1751731117079,A,B,1
processed_10s_2ch\A_B_1__t1751731112079.npy,A_B_1,1751731112079,1751731122079,A,B,1
processed_10s_2ch\A_B_1__t1751731117079.npy,A_B_1,1751731117079,1751731127079,A,B,1
processed_10s_2ch\A_B_1__t1751731122079.npy,A_B_1,1751731122079,1751731132079,A,B,1
processed_10s_2ch\A_B_1__t1751731127079.npy,A_B_1,1751731127079,1751731137079,A,B,1
processed_10s_2ch\A_B_1__t1751731132079.npy,A_B_1,1751731132079,1751731142079,A,B,1
processed_10s_2ch\A_B_1__t1751731137079.npy,A_B_1,1751731137079,1751731147079,A,B,1
processed_10s_2ch\A_B_1__t1751731142079.npy,A_B_1,1751731142079,1751731152079,A,B,1
processed_10s_2ch\A_B_1__t1751731147079.npy,A_B_1,1751731147079,1751731157079,A,B,1
processed_10s_2ch\A_B_1__t1751731152079.npy,A_B_1,1751731152079,1751731162079,A,B,1
processed_10s_2ch\A_B_1__t1751731157079.npy,A_B_1,1751731157079,1751731167079,A,B,1
processed_10s_2ch\A_B_1__t1751731162079.npy,A_B_1,1751731162079,1751731172079,A,B,1
processed_10s_2ch\A_B_1__t1751731167079.npy,A_B_1,1751731167079,1751731177079,A,B,1
processed_10s_2ch\A_B_1__t1751731172079.npy,A_B_1,1751731172079,1751731182079,A,B,1
processed_10s_2ch\A_B_1__t1751731177079.npy,A_B_1,1751731177079,1751731187079,A,B,1
processed_10s_2ch\A_B_1__t1751731182079.npy,A_B_1,1751731182079,1751731192079,A,B,1
processed_10s_2ch\A_B_1__t1751731187079.npy,A_B_1,1751731187079,1751731197079,A,B,1
processed_10s_2ch\A_B_1__t1751731192079.npy,A_B_1,1751731192079,1751731202079,A,B,1
processed_10s_2ch\A_B_1__t1751731197079.npy,A_B_1,1751731197079,1751731207079,A,B,1
processed_10s_2ch\A_B_1__t1751731202079.npy,A_B_1,1751731202079,1751731212079,A,B,1
processed_10s_2ch\A_B_1__t1751731207079.npy,A_B_1,1751731207079,1751731217079,A,B,1
processed_10s_2ch\A_B_1__t1751731212079.npy,A_B_1,1751731212079,1751731222079,A,B,1
processed_10s_2ch\A_B_1__t1751731217079.npy,A_B_1,1751731217079,1751731227079,A,B,1
processed_10s_2ch\A_B_1__t1751731222079.npy,A_B_1,1751731222079,1751731232079,A,B,1
processed_10s_2ch\A_B_1__t1751731227079.npy,A_B_1,1751731227079,1751731237079,A,B,1
processed_10s_2ch\A_B_1__t1751731232079.npy,A_B_1,1751731232079,1751731242079,A,B,1
processed_10s_2ch\A_B_1__t1751731237079.npy,A_B_1,1751731237079,1751731247079,A,B,1
processed_10s_2ch\A_B_1__t1751731242079.npy,A_B_1,1751731242079,1751731252079,A,B,1
processed_10s_2ch\A_B_1__t1751731247079.npy,A_B_1,1751731247079,1751731257079,A,B,1
processed_10s_2ch\A_B_1__t1751731252079.npy,A_B_1,1751731252079,1751731262079,A,B,1
processed_10s_2ch\A_B_1__t1751731257079.npy,A_B_1,1751731257079,1751731267079,A,B,1
processed_10s_2ch\A_B_1__t1751731262079.npy,A_B_1,1751731262079,1751731272079,A,B,1
processed_10s_2ch\A_B_1__t1751731267079.npy,A_B_1,1751731267079,1751731277079,A,B,1
processed_10s_2ch\A_B_1__t1751731272079.npy,A_B_1,1751731272079,1751731282079,A,B,1
processed_10s_2ch\A_B_1__t1751731277079.npy,A_B_1,1751731277079,1751731287079,A,B,1
processed_10s_2ch\A_B_1__t1751731282079.npy,A_B_1,1751731282079,1751731292079,A,B,1
processed_10s_2ch\A_B_1__t1751731287079.npy,A_B_1,1751731287079,1751731297079,A,B,1
processed_10s_2ch\A_B_1__t1751731292079.npy,A_B_1,1751731292079,1751731302079,A,B,1
processed_10s_2ch\A_B_1__t1751731297079.npy,A_B_1,1751731297079,1751731307079,A,B,1
processed_10s_2ch\A_B_1__t1751731302079.npy,A_B_1,1751731302079,1751731312079,A,B,1
processed_10s_2ch\A_B_1__t1751731307079.npy,A_B_1,1751731307079,1751731317079,A,B,1
processed_10s_2ch\A_B_1__t1751731312079.npy,A_B_1,1751731312079,1751731322079,A,B,1
processed_10s_2ch\A_B_1__t1751731317079.npy,A_B_1,1751731317079,1751731327079,A,B,1
processed_10s_2ch\A_B_1__t1751731322079.npy,A_B_1,1751731322079,1751731332079,A,B,1
