/home/server/WSN-Projects/riot-exercises/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-server" -rn "2025-07-10_16.24.59-pkt_logger-feather-nrf52840-sense"  
2025-07-10 16:24:59,423 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-10 16:25:00,428 # shell: command not found: r
> 2025-07-10 16:25:00,429 # 
> 2025-07-10 16:25:09,445 # main(): This is Rr
2025-07-10 16:25:09,446 # shell: command not found: main():
> 2025-07-10 16:25:09,446 # 
> 2025-07-10 16:25:09,446 # status
2025-07-10 16:25:09,447 # Targets (0):
2025-07-10 16:25:09,447 # Sender running: false
2025-07-10 16:26:02,547 # -72,84
2025-07-10 16:26:02,647 # -71,88
2025-07-10 16:26:02,748 # -73,80
2025-07-10 16:26:02,849 # -73,80
2025-07-10 16:26:02,949 # -73,80
2025-07-10 16:26:03,048 # -73,80
2025-07-10 16:26:03,150 # -73,80
2025-07-10 16:26:03,251 # -72,84
2025-07-10 16:26:03,352 # -73,80
2025-07-10 16:26:03,451 # -72,84
2025-07-10 16:26:03,552 # -73,80
2025-07-10 16:26:03,555 # -72,84
2025-07-10 16:26:03,652 # -74,76
2025-07-10 16:26:03,753 # -75,72
2025-07-10 16:26:03,855 # -75,72
2025-07-10 16:26:03,955 # -74,76
2025-07-10 16:26:04,054 # -73,80
2025-07-10 16:26:04,155 # -74,76
2025-07-10 16:26:04,256 # -75,72
2025-07-10 16:26:04,356 # -77,64
2025-07-10 16:26:04,456 # -75,72
2025-07-10 16:26:04,557 # -74,76
2025-07-10 16:26:04,658 # -74,76
2025-07-10 16:26:04,758 # -75,72
2025-07-10 16:26:04,860 # -76,68
2025-07-10 16:26:04,961 # -76,68
2025-07-10 16:26:05,060 # -77,64
2025-07-10 16:26:05,161 # -75,72
2025-07-10 16:26:05,261 # -79,56
2025-07-10 16:26:05,363 # -79,56
2025-07-10 16:26:05,463 # -78,60
2025-07-10 16:26:05,565 # -73,80
2025-07-10 16:26:05,668 # -73,80
2025-07-10 16:26:05,766 # -73,80
2025-07-10 16:26:05,864 # -76,68
2025-07-10 16:26:05,965 # -75,72
2025-07-10 16:26:06,067 # -74,76
2025-07-10 16:26:06,171 # -74,76
2025-07-10 16:26:06,268 # -73,80
2025-07-10 16:26:06,367 # -73,80
2025-07-10 16:26:06,467 # -75,72
2025-07-10 16:26:06,568 # -74,76
2025-07-10 16:26:06,678 # -73,80
2025-07-10 16:26:06,771 # -72,84
2025-07-10 16:26:06,871 # -74,76
2025-07-10 16:26:06,970 # -73,80
2025-07-10 16:26:07,072 # -74,76
2025-07-10 16:26:07,172 # -73,80
2025-07-10 16:26:07,272 # -73,80
2025-07-10 16:26:07,373 # -74,76
2025-07-10 16:26:07,473 # -73,80
2025-07-10 16:26:07,574 # -73,80
2025-07-10 16:26:07,677 # -72,84
2025-07-10 16:26:07,776 # -73,80
2025-07-10 16:26:07,878 # -72,84
2025-07-10 16:26:07,981 # -72,84
2025-07-10 16:26:08,079 # -73,80
2025-07-10 16:26:08,178 # -73,80
2025-07-10 16:26:08,182 # -73,80
2025-07-10 16:26:08,279 # -72,84
2025-07-10 16:26:08,378 # -73,80
2025-07-10 16:26:08,480 # -73,80
2025-07-10 16:26:08,581 # -74,76
2025-07-10 16:26:08,681 # -73,80
2025-07-10 16:26:08,785 # -74,76
2025-07-10 16:26:08,883 # -74,76
2025-07-10 16:26:08,985 # -74,76
2025-07-10 16:26:09,082 # -74,76
2025-07-10 16:26:09,185 # -74,76
2025-07-10 16:26:09,285 # -74,76
2025-07-10 16:26:09,291 # -74,76
2025-07-10 16:26:09,297 # -74,76
2025-07-10 16:26:09,385 # -73,80
2025-07-10 16:26:09,485 # -73,80
2025-07-10 16:26:09,586 # -73,80
2025-07-10 16:26:09,686 # -73,80
2025-07-10 16:26:09,794 # -73,80
2025-07-10 16:26:09,888 # -73,80
2025-07-10 16:26:09,987 # -73,80
2025-07-10 16:26:10,090 # -73,80
2025-07-10 16:26:10,190 # -73,80
2025-07-10 16:26:10,291 # -73,80
2025-07-10 16:26:10,390 # -73,80
2025-07-10 16:26:10,491 # -72,84
2025-07-10 16:26:10,591 # -73,80
2025-07-10 16:26:10,692 # -72,84
2025-07-10 16:26:10,793 # -74,76
2025-07-10 16:26:10,894 # -74,76
2025-07-10 16:26:10,996 # -74,76
2025-07-10 16:26:11,096 # -72,84
2025-07-10 16:26:11,195 # -74,76
2025-07-10 16:26:11,199 # -74,76
2025-07-10 16:26:11,302 # -74,76
2025-07-10 16:26:11,397 # -73,80
2025-07-10 16:26:11,496 # -71,88
2025-07-10 16:26:11,598 # -73,80
2025-07-10 16:26:11,699 # -73,80
2025-07-10 16:26:11,798 # -73,80
2025-07-10 16:26:11,899 # -74,76
2025-07-10 16:26:12,000 # -73,80
2025-07-10 16:26:12,112 # -74,76
2025-07-10 16:26:12,200 # -75,72
2025-07-10 16:26:12,308 # -75,72
2025-07-10 16:26:12,403 # -76,68
2025-07-10 16:26:12,502 # -76,68
2025-07-10 16:26:12,604 # -77,64
2025-07-10 16:26:12,704 # -78,60
2025-07-10 16:26:12,806 # -75,72
2025-07-10 16:26:12,905 # -74,76
2025-07-10 16:26:13,007 # -73,80
2025-07-10 16:26:13,107 # -72,84
2025-07-10 16:26:13,207 # -72,84
2025-07-10 16:26:13,308 # -72,84
2025-07-10 16:26:13,408 # -73,80
2025-07-10 16:26:13,509 # -75,72
2025-07-10 16:26:13,610 # -74,76
2025-07-10 16:26:13,709 # -74,76
2025-07-10 16:26:13,810 # -74,76
2025-07-10 16:26:13,911 # -74,76
2025-07-10 16:26:14,010 # -73,80
2025-07-10 16:26:14,114 # -72,84
2025-07-10 16:26:14,213 # -73,80
2025-07-10 16:26:14,313 # -73,80
2025-07-10 16:26:14,413 # -73,80
2025-07-10 16:26:14,417 # -73,80
2025-07-10 16:26:14,521 # -74,76
2025-07-10 16:26:14,615 # -74,76
2025-07-10 16:26:14,716 # -74,76
2025-07-10 16:26:14,816 # -74,76
2025-07-10 16:26:14,916 # -74,76
2025-07-10 16:26:15,017 # -70,92
2025-07-10 16:26:15,117 # -67,104
2025-07-10 16:26:15,218 # -74,76
2025-07-10 16:26:15,317 # -71,88
2025-07-10 16:26:15,420 # -71,88
2025-07-10 16:26:15,520 # -70,92
2025-07-10 16:26:15,621 # -70,92
2025-07-10 16:26:15,720 # -73,80
2025-07-10 16:26:15,827 # -76,68
2025-07-10 16:26:15,922 # -73,80
2025-07-10 16:26:16,021 # -72,84
2025-07-10 16:26:16,124 # -73,80
2025-07-10 16:26:16,224 # -72,84
2025-07-10 16:26:16,325 # -73,80
2025-07-10 16:26:16,424 # -72,84
2025-07-10 16:26:16,526 # -71,88
2025-07-10 16:26:16,626 # -73,80
2025-07-10 16:26:16,726 # -72,84
2025-07-10 16:26:16,826 # -73,80
2025-07-10 16:26:16,929 # -74,76
2025-07-10 16:26:17,029 # -72,84
2025-07-10 16:26:17,135 # -74,76
2025-07-10 16:26:17,230 # -78,60
2025-07-10 16:26:17,335 # -74,76
2025-07-10 16:26:17,438 # -73,80
2025-07-10 16:26:17,532 # -73,80
2025-07-10 16:26:17,633 # -71,88
2025-07-10 16:26:17,732 # -73,80
2025-07-10 16:26:17,833 # -76,68
2025-07-10 16:26:17,934 # -79,56
2025-07-10 16:26:18,034 # -73,80
2025-07-10 16:26:18,135 # -74,76
2025-07-10 16:26:18,235 # -73,80
2025-07-10 16:26:18,335 # -71,88
2025-07-10 16:26:18,438 # -73,80
2025-07-10 16:26:18,536 # -70,92
2025-07-10 16:26:18,638 # -72,84
2025-07-10 16:26:18,737 # -75,72
2025-07-10 16:26:18,838 # -73,80
2025-07-10 16:26:18,938 # -73,80
2025-07-10 16:26:19,040 # -71,88
2025-07-10 16:26:19,139 # -71,88
2025-07-10 16:26:19,242 # -72,84
2025-07-10 16:26:19,341 # -70,92
2025-07-10 16:26:19,442 # -70,92
2025-07-10 16:26:19,549 # -70,92
2025-07-10 16:26:19,646 # -70,92
2025-07-10 16:26:19,744 # -70,92
2025-07-10 16:26:19,845 # -70,92
2025-07-10 16:26:19,946 # -71,88
2025-07-10 16:26:20,045 # -72,84
2025-07-10 16:26:20,148 # -71,88
2025-07-10 16:26:20,246 # -70,92
2025-07-10 16:26:20,354 # -69,96
2025-07-10 16:26:20,448 # -69,96
2025-07-10 16:26:20,550 # -69,96
2025-07-10 16:26:20,649 # -69,96
2025-07-10 16:26:20,750 # -69,96
2025-07-10 16:26:20,854 # -69,96
2025-07-10 16:26:20,951 # -69,96
2025-07-10 16:26:21,051 # -69,96
2025-07-10 16:26:21,153 # -69,96
2025-07-10 16:26:21,252 # -69,96
2025-07-10 16:26:21,354 # -70,92
2025-07-10 16:26:21,454 # -69,96
2025-07-10 16:26:21,555 # -70,92
2025-07-10 16:26:21,656 # -70,92
2025-07-10 16:26:21,756 # -70,92
2025-07-10 16:26:21,857 # -70,92
2025-07-10 16:26:21,956 # -71,88
2025-07-10 16:26:22,058 # -71,88
2025-07-10 16:26:22,159 # -70,92
2025-07-10 16:26:22,259 # -70,92
2025-07-10 16:26:22,360 # -71,88
2025-07-10 16:26:22,459 # -72,84
2025-07-10 16:26:22,560 # -70,92
2025-07-10 16:26:22,661 # -72,84
2025-07-10 16:26:22,760 # -71,88
2025-07-10 16:26:22,862 # -72,84
2025-07-10 16:26:22,962 # -72,84
2025-07-10 16:26:23,062 # -70,92
2025-07-10 16:26:23,163 # -69,96
2025-07-10 16:26:23,265 # -70,92
2025-07-10 16:26:23,365 # -70,92
2025-07-10 16:26:23,466 # -70,92
2025-07-10 16:26:23,565 # -70,92
2025-07-10 16:26:23,666 # -70,92
2025-07-10 16:26:23,766 # -69,96
2025-07-10 16:26:23,866 # -71,88
2025-07-10 16:26:23,967 # -71,88
2025-07-10 16:26:24,069 # -70,92
2025-07-10 16:26:24,169 # -70,92
2025-07-10 16:26:24,270 # -70,92
2025-07-10 16:26:24,370 # -71,88
2025-07-10 16:26:24,474 # -71,88
2025-07-10 16:26:24,571 # -71,88
2025-07-10 16:26:24,671 # -71,88
2025-07-10 16:26:24,772 # -72,84
2025-07-10 16:26:24,873 # -73,80
2025-07-10 16:26:24,973 # -71,88
2025-07-10 16:26:25,074 # -71,88
2025-07-10 16:26:25,184 # -72,84
2025-07-10 16:26:25,274 # -71,88
2025-07-10 16:26:25,375 # -72,84
2025-07-10 16:26:25,477 # -72,84
2025-07-10 16:26:25,577 # -72,84
2025-07-10 16:26:25,678 # -72,84
2025-07-10 16:26:25,777 # -72,84
2025-07-10 16:26:25,879 # -72,84
2025-07-10 16:26:25,980 # -71,88
2025-07-10 16:26:26,081 # -72,84
2025-07-10 16:26:26,181 # -72,84
2025-07-10 16:26:26,280 # -71,88
2025-07-10 16:26:26,382 # -72,84
2025-07-10 16:26:26,483 # -71,88
2025-07-10 16:26:26,583 # -71,88
2025-07-10 16:26:26,683 # -71,88
2025-07-10 16:26:26,784 # -71,88
2025-07-10 16:26:26,883 # -70,92
2025-07-10 16:26:26,985 # -70,92
2025-07-10 16:26:27,086 # -70,92
2025-07-10 16:26:27,186 # -70,92
2025-07-10 16:26:27,287 # -72,84
2025-07-10 16:26:27,386 # -71,88
2025-07-10 16:26:27,489 # -70,92
2025-07-10 16:26:27,587 # -70,92
2025-07-10 16:26:27,688 # -71,88
2025-07-10 16:26:27,788 # -72,84
2025-07-10 16:26:27,791 # -73,80
2025-07-10 16:26:27,891 # -74,76
2025-07-10 16:26:27,990 # -70,92
2025-07-10 16:26:28,091 # -70,92
2025-07-10 16:26:28,192 # -71,88
2025-07-10 16:26:28,293 # -71,88
2025-07-10 16:26:28,393 # -71,88
2025-07-10 16:26:28,493 # -71,88
2025-07-10 16:26:28,594 # -70,92
2025-07-10 16:26:28,695 # -70,92
2025-07-10 16:26:28,794 # -70,92
2025-07-10 16:26:28,796 # -70,92
2025-07-10 16:26:28,896 # -71,88
2025-07-10 16:26:28,997 # -70,92
2025-07-10 16:26:29,097 # -71,88
2025-07-10 16:26:29,198 # -72,84
2025-07-10 16:26:29,298 # -71,88
2025-07-10 16:26:29,399 # -71,88
2025-07-10 16:26:29,500 # -71,88
2025-07-10 16:26:29,600 # -70,92
2025-07-10 16:26:29,700 # -74,76
2025-07-10 16:26:29,801 # -72,84
2025-07-10 16:26:29,900 # -74,76
2025-07-10 16:26:30,001 # -73,80
2025-07-10 16:26:30,103 # -72,84
2025-07-10 16:26:30,203 # -73,80
2025-07-10 16:26:30,303 # -71,88
2025-07-10 16:26:30,403 # -71,88
2025-07-10 16:26:30,504 # -72,84
2025-07-10 16:26:30,606 # -72,84
2025-07-10 16:26:30,706 # -71,88
2025-07-10 16:26:30,806 # -74,76
2025-07-10 16:26:30,907 # -72,84
2025-07-10 16:26:31,008 # -73,80
2025-07-10 16:26:31,108 # -76,68
2025-07-10 16:26:31,209 # -78,60
2025-07-10 16:26:31,308 # -77,64
2025-07-10 16:26:31,410 # -75,72
2025-07-10 16:26:31,509 # -75,72
2025-07-10 16:26:31,610 # -75,72
2025-07-10 16:26:31,710 # -76,68
2025-07-10 16:26:31,811 # -77,64
2025-07-10 16:26:31,912 # -77,64
2025-07-10 16:26:32,013 # -76,68
2025-07-10 16:26:32,115 # -76,68
2025-07-10 16:26:32,214 # -76,68
2025-07-10 16:26:32,315 # -76,68
2025-07-10 16:26:32,416 # -76,68
2025-07-10 16:26:32,515 # -75,72
2025-07-10 16:26:32,522 # -76,68
2025-07-10 16:26:32,617 # -76,68
2025-07-10 16:26:32,716 # -77,64
2025-07-10 16:26:32,817 # -77,64
2025-07-10 16:26:32,919 # -75,72
2025-07-10 16:26:33,018 # -73,80
2025-07-10 16:26:33,123 # -74,76
2025-07-10 16:26:33,220 # -74,76
2025-07-10 16:26:33,319 # -73,80
2025-07-10 16:26:33,420 # -73,80
2025-07-10 16:26:33,522 # -73,80
2025-07-10 16:26:33,623 # -74,76
2025-07-10 16:26:33,722 # -74,76
2025-07-10 16:26:33,824 # -75,72
2025-07-10 16:26:33,924 # -76,68
2025-07-10 16:26:34,023 # -77,64
2025-07-10 16:26:34,125 # -78,60
2025-07-10 16:26:34,226 # -79,56
2025-07-10 16:26:34,326 # -78,60
2025-07-10 16:26:34,426 # -76,68
2025-07-10 16:26:34,528 # -76,68
2025-07-10 16:26:34,628 # -75,72
2025-07-10 16:26:34,727 # -75,72
2025-07-10 16:26:34,828 # -76,68
2025-07-10 16:26:34,929 # -75,72
2025-07-10 16:26:35,029 # -78,60
2025-07-10 16:26:35,129 # -78,60
2025-07-10 16:26:35,231 # -78,60
2025-07-10 16:26:35,330 # -78,60
2025-07-10 16:26:35,431 # -77,64
2025-07-10 16:26:35,532 # -75,72
2025-07-10 16:26:35,634 # -74,76
2025-07-10 16:26:35,638 # -74,76
2025-07-10 16:26:35,738 # -74,76
2025-07-10 16:26:35,834 # -73,80
2025-07-10 16:26:35,935 # -72,84
2025-07-10 16:26:36,035 # -71,88
2025-07-10 16:26:36,136 # -73,80
2025-07-10 16:26:36,237 # -73,80
2025-07-10 16:26:36,338 # -73,80
2025-07-10 16:26:36,438 # -73,80
2025-07-10 16:26:36,540 # -74,76
2025-07-10 16:26:36,639 # -74,76
2025-07-10 16:26:36,738 # -73,80
2025-07-10 16:26:36,840 # -76,68
2025-07-10 16:26:36,942 # -72,84
2025-07-10 16:26:37,042 # -76,68
2025-07-10 16:26:37,143 # -72,84
2025-07-10 16:26:37,243 # -73,80
2025-07-10 16:26:37,343 # -71,88
2025-07-10 16:26:37,444 # -73,80
2025-07-10 16:26:37,544 # -72,84
2025-07-10 16:26:37,645 # -75,72
2025-07-10 16:26:37,744 # -74,76
2025-07-10 16:26:37,845 # -80,52
2025-07-10 16:26:37,959 # -76,68
2025-07-10 16:26:38,047 # -77,64
2025-07-10 16:26:38,147 # -74,76
2025-07-10 16:26:38,249 # -75,72
2025-07-10 16:26:38,348 # -73,80
2025-07-10 16:26:38,449 # -72,84
2025-07-10 16:26:38,549 # -72,84
2025-07-10 16:26:38,652 # -73,80
2025-07-10 16:26:38,751 # -74,76
2025-07-10 16:26:38,850 # -74,76
2025-07-10 16:26:38,953 # -73,80
2025-07-10 16:26:39,052 # -73,80
2025-07-10 16:26:39,152 # -73,80
2025-07-10 16:26:39,254 # -73,80
2025-07-10 16:26:39,355 # -72,84
2025-07-10 16:26:39,454 # -72,84
2025-07-10 16:26:39,555 # -72,84
2025-07-10 16:26:39,657 # -72,84
2025-07-10 16:26:39,757 # -71,88
2025-07-10 16:26:39,857 # -72,84
2025-07-10 16:26:39,958 # -72,84
2025-07-10 16:26:40,059 # -73,80
2025-07-10 16:26:40,159 # -73,80
2025-07-10 16:26:40,258 # -73,80
2025-07-10 16:26:40,361 # -73,80
2025-07-10 16:26:40,460 # -74,76
2025-07-10 16:26:40,561 # -73,80
2025-07-10 16:26:40,662 # -73,80
2025-07-10 16:26:40,764 # -73,80
2025-07-10 16:26:40,863 # -73,80
2025-07-10 16:26:40,962 # -73,80
2025-07-10 16:26:41,065 # -73,80
2025-07-10 16:26:41,165 # -74,76
2025-07-10 16:26:41,266 # -73,80
2025-07-10 16:26:41,367 # -74,76
2025-07-10 16:26:41,466 # -74,76
2025-07-10 16:26:41,568 # -74,76
2025-07-10 16:26:41,668 # -73,80
2025-07-10 16:26:41,768 # -73,80
2025-07-10 16:26:41,868 # -73,80
2025-07-10 16:26:41,968 # -72,84
2025-07-10 16:26:42,070 # -72,84
2025-07-10 16:26:42,170 # -71,88
2025-07-10 16:26:42,272 # -71,88
2025-07-10 16:26:42,371 # -71,88
2025-07-10 16:26:42,471 # -71,88
2025-07-10 16:26:42,572 # -70,92
2025-07-10 16:26:42,673 # -71,88
2025-07-10 16:26:42,775 # -71,88
2025-07-10 16:26:42,874 # -70,92
2025-07-10 16:26:42,976 # -70,92
2025-07-10 16:26:43,076 # -70,92
2025-07-10 16:26:43,175 # -70,92
2025-07-10 16:26:43,276 # -70,92
2025-07-10 16:26:43,377 # -70,92
2025-07-10 16:26:43,477 # -70,92
2025-07-10 16:26:43,579 # -70,92
2025-07-10 16:26:43,678 # -71,88
2025-07-10 16:26:43,779 # -71,88
2025-07-10 16:26:43,888 # -71,88
2025-07-10 16:26:43,981 # -71,88
2025-07-10 16:26:44,080 # -71,88
2025-07-10 16:26:44,181 # -72,84
2025-07-10 16:26:44,281 # -72,84
2025-07-10 16:26:44,384 # -72,84
2025-07-10 16:26:44,485 # -71,88
2025-07-10 16:26:44,585 # -72,84
2025-07-10 16:26:44,685 # -72,84
2025-07-10 16:26:44,786 # -72,84
2025-07-10 16:26:44,885 # -72,84
2025-07-10 16:26:44,987 # -72,84
2025-07-10 16:26:45,086 # -71,88
2025-07-10 16:26:45,187 # -71,88
2025-07-10 16:26:45,289 # -72,84
2025-07-10 16:26:45,389 # -71,88
2025-07-10 16:26:45,490 # -71,88
2025-07-10 16:26:45,591 # -72,84
2025-07-10 16:26:45,690 # -73,80
2025-07-10 16:26:45,793 # -73,80
2025-07-10 16:26:45,893 # -73,80
2025-07-10 16:26:45,993 # -71,88
2025-07-10 16:26:46,092 # -72,84
2025-07-10 16:26:46,192 # -73,80
2025-07-10 16:26:46,293 # -75,72
2025-07-10 16:26:46,395 # -74,76
2025-07-10 16:26:46,496 # -73,80
2025-07-10 16:26:46,595 # -73,80
2025-07-10 16:26:46,696 # -72,84
2025-07-10 16:26:46,797 # -71,88
2025-07-10 16:26:46,896 # -71,88
2025-07-10 16:26:46,998 # -70,92
2025-07-10 16:26:47,098 # -70,92
2025-07-10 16:26:47,199 # -70,92
2025-07-10 16:26:47,300 # -70,92
2025-07-10 16:26:47,400 # -71,88
2025-07-10 16:26:47,499 # -71,88
2025-07-10 16:26:47,606 # -71,88
2025-07-10 16:26:47,707 # -72,84
2025-07-10 16:26:47,801 # -71,88
2025-07-10 16:26:47,902 # -71,88
2025-07-10 16:26:48,004 # -72,84
2025-07-10 16:26:48,104 # -74,76
2025-07-10 16:26:48,206 # -74,76
2025-07-10 16:26:48,305 # -74,76
2025-07-10 16:26:48,405 # -73,80
2025-07-10 16:26:48,506 # -73,80
2025-07-10 16:26:48,608 # -72,84
2025-07-10 16:26:48,706 # -71,88
2025-07-10 16:26:48,808 # -72,84
2025-07-10 16:26:48,910 # -71,88
2025-07-10 16:26:49,008 # -70,92
2025-07-10 16:26:49,111 # -70,92
2025-07-10 16:26:49,209 # -72,84
2025-07-10 16:26:49,311 # -72,84
2025-07-10 16:26:49,412 # -71,88
2025-07-10 16:26:49,513 # -71,88
2025-07-10 16:26:49,613 # -71,88
2025-07-10 16:26:49,714 # -72,84
2025-07-10 16:26:49,813 # -72,84
2025-07-10 16:26:49,914 # -73,80
2025-07-10 16:26:50,015 # -73,80
2025-07-10 16:26:50,119 # -73,80
2025-07-10 16:26:50,215 # -72,84
2025-07-10 16:26:50,317 # -72,84
2025-07-10 16:26:50,417 # -72,84
2025-07-10 16:26:50,517 # -71,88
2025-07-10 16:26:50,618 # -71,88
2025-07-10 16:26:50,718 # -72,84
2025-07-10 16:26:50,819 # -71,88
2025-07-10 16:26:50,923 # -70,92
2025-07-10 16:26:51,020 # -70,92
2025-07-10 16:26:51,122 # -70,92
2025-07-10 16:26:51,221 # -71,88
2025-07-10 16:26:51,322 # -70,92
2025-07-10 16:26:51,430 # -72,84
2025-07-10 16:26:51,523 # -72,84
2025-07-10 16:26:51,626 # -72,84
2025-07-10 16:26:51,725 # -72,84
2025-07-10 16:26:51,826 # -72,84
2025-07-10 16:26:51,925 # -71,88
2025-07-10 16:26:52,027 # -71,88
2025-07-10 16:26:52,126 # -71,88
2025-07-10 16:26:52,227 # -71,88
2025-07-10 16:26:52,327 # -71,88
2025-07-10 16:26:52,430 # -70,92
2025-07-10 16:26:52,529 # -71,88
2025-07-10 16:26:52,629 # -71,88
